  dataset       zr a_angryt1_neutralt2_early v_angryt1_neutralt2_early t0_angryt1_neutralt2_early        d a_angryt1_angryt2_early v_angryt1_angryt2_early t0_angryt1_angryt2_early a_neutralt1_angryt2_early v_neutralt1_angryt2_early t0_neutralt1_angryt2_early a_absent_neutralt2_late v_absent_neutralt2_late t0_absent_neutralt2_late a_neutralt1_angryt2_late v_neutralt1_angryt2_late t0_neutralt1_angryt2_late a_neutralt1_neutralt2_early v_neutralt1_neutralt2_early t0_neutralt1_neutralt2_early a_angryt1_neutralt2_late v_angryt1_neutralt2_late t0_angryt1_neutralt2_late a_neutralt1_neutralt2_late v_neutralt1_neutralt2_late t0_neutralt1_neutralt2_late a_absent_neutralt2_early v_absent_neutralt2_early t0_absent_neutralt2_early a_absent_angryt2_late v_absent_angryt2_late t0_absent_angryt2_late a_absent_angryt2_early v_absent_angryt2_early t0_absent_angryt2_early a_angryt1_angryt2_late v_angryt1_angryt2_late t0_angryt1_angryt2_late  penalty      fit     time   method
      114   0.5267   1.5464   0.5712   0.3413   0.0224   1.8119   0.7592   0.3015   1.7762   0.7595   0.3499   1.6962   0.2417   0.5839   1.9364   0.5958   0.3061   1.7833   0.4013   0.2986   2.0157   0.2347   0.3383   1.7868   0.6458   0.3993   1.7325   1.1169   0.4743   1.9175   1.1413   0.6311   1.6751   0.8608   0.4595   1.9919   0.5559   0.3095   0.0000 609.1923   0.5100       ML
      116   0.4396   1.3828   0.4092   0.2181   0.0707   1.2318   0.4097   0.2975   1.1343   0.9813   0.3340   1.3922   0.8504   0.3877   1.4509   1.4893   0.3167   1.1444   0.8495   0.3368   1.3261   1.4426   0.3726   1.6449   1.0505   0.3317   1.1161   1.4969   0.3523   1.3621   1.4747   0.3842   1.2877   1.7639   0.3262   1.5325   1.4779   0.3358   0.0000 227.0297   0.5300       ML
      117   0.4622   1.5275   0.4222   0.1709   0.0428   1.4486   0.8819   0.2301   1.3949   1.0778   0.2389   1.1086   1.4696   0.3760   1.7223   1.8264   0.3063   1.1992   0.8684   0.3015   1.6091   0.7715   0.1983   1.3651   1.0060   0.3477   1.1435   1.4443   0.3369   1.4742   1.8135   0.2926   1.4855   0.9173   0.2657   1.5020   1.7545   0.3286   0.0000 268.4783   0.4900       ML
      118   0.5434   1.4004   0.1095   0.2477   0.0055   1.3084   0.7034   0.2545   1.5387   0.8186   0.1838   2.3025   1.4592   0.3282   1.6136   1.1054   0.2655   1.3041   0.0123   0.2726   1.5306   1.3780   0.2655   1.5533   1.2796   0.2480   1.6842   0.6569   0.3405   1.7706   1.3121   0.3143   1.9459   1.2896   0.2795   1.4777   1.2591   0.2590   0.0000 330.8013   0.9700       ML
      119   0.5370   1.5123   0.0277   0.3129   0.0104   1.6128   0.0879   0.2641   1.6657   0.3776   0.2838   1.6046   0.5451   0.3282   1.6925   0.6423   0.3009   1.5755   0.1554   0.2925   1.7009   0.6173   0.3010   1.9294   0.7497   0.2839   1.8405   0.5497   0.3285   1.7776   0.4703   0.4920   1.5530   0.3962   0.3068   1.6465   0.8898   0.3100   0.0000 588.7662   0.4600       ML
      120   0.6136   1.7260   0.1701   0.1807  -0.0389   1.6285   0.2619   0.2073   1.6322   0.0021   0.1872   1.8767   0.2671   0.2805   1.7046   1.1758   0.2828   1.7697   0.1071   0.1517   1.5872   0.4456   0.2685   1.5927   0.2813   0.2993   1.4585   0.4513   0.2900   1.5043   0.7625   0.3031   1.5850   0.7777   0.2828   1.4917   0.6714   0.3027   0.0000 532.7986   0.5300       ML
      121   0.6795   1.4183   0.1519   0.1855  -0.0748   1.2695   0.4632   0.2539   1.4242   0.5170   0.1707   1.8313   1.0441   0.2490   1.7839   1.1532   0.2619   1.4147   0.2717   0.2143   1.7062   0.7809   0.2463   1.7939   0.5922   0.2116   1.3949   0.7546   0.2589   1.7430   0.8287   0.2801   1.8137   1.2637   0.2313   1.7579   0.8724   0.2235   0.0000 241.8304   0.5100       ML
      122   0.4964   1.7311   0.2451   0.2913   0.0093   1.6018   0.3545   0.2794   1.4834   0.7250   0.3217   2.2440   1.5823   0.3597   2.0778   0.9194   0.2318   1.6853   0.2161   0.2984   1.8228   0.6871   0.3116   2.3132   1.0337   0.2691   2.0577   1.0741   0.2950   2.6074   1.4463   0.2013   3.0421   1.4672   0.1834   1.5982   1.0323   0.3197   0.0000 570.7780   0.5700       ML
      123   0.4570   1.2460   0.6991   0.2886   0.0483   1.1150   0.9069   0.2939   1.5482   0.8049   0.1413   1.5665   1.4775   0.3587   1.4064   1.1849   0.3028   1.3616   0.7416   0.2839   1.6046   1.1097   0.3023   1.4761   1.2185   0.3435   1.3042   1.1538   0.3204   1.3925   1.2948   0.4653   1.4819   1.1220   0.3190   1.3897   0.9076   0.3287   0.0000 300.3230   0.5400       ML
      124   0.5064   1.5468   0.0895   0.3055   0.0098   1.5162   0.1862   0.3097   1.3710   0.1522   0.3669   1.9971   0.8265   0.0930   1.4519   0.3724   0.3692   1.5554   0.5003   0.3307   1.5947   0.5503   0.3502   1.5806   0.4084   0.3273   1.4176   0.9660   0.3732   1.4508   1.1402   0.3727   1.3056   0.5880   0.3527   1.6165   0.8824   0.3630   0.0000 504.8087   0.5100       ML
