SubName;WhichTrial;WhichBlock;FaceCombination;FacesCorrect;AllAnswers;RTimeWS;RTimeHM;HLcol;HLRAWcol;AllLags;AllSOAs;Tilt4T1;Tilt4T2;STime
101;66;1;3;0;1;0.367792214;1.008873755;1;1;1;1;2;0.2334;-12
101;67;1;4;1;1;0.692419789;1.201428581;1;1;1;1;1;0.1167;12
101;68;1;6;1;0;0.465960952;0.934054024;1;1;1;1;2;0.2334;-12
101;69;1;3;1;0;0.868142927;1.292146578;1;1;1;1;3;0.3501;-12
101;70;1;4;1;1;1.142456876;1.827762237;1;1;1;1;3;0.3501;-12
101;71;1;1;1;0;1.151657665;1.517660472;1;1;1;1;10;1.167;-12
101;72;1;6;1;1;1.497611564;1.732604963;1;1;1;1;10;1.167;-12
101;73;1;5;1;0;0.975833729;1.319842064;1;1;1;1;1;0.1167;-12
101;74;1;2;1;0;0.987747747;1.435751272;1;1;1;1;8;0.9336;12
101;75;1;4;0;1;0.745957675;0.977966809;1;1;1;1;1;0.1167;12
101;76;1;4;0;0;0.571789068;0.949196143;1;1;1;1;1;0.1167;-12
101;77;1;3;0;1;0.950769234;1.48276352;1;1;1;1;2;0.2334;12
101;78;1;2;0;1;1.622001576;2.094016495;1;1;1;1;2;0.2334;-12
101;79;1;4;1;1;0.595599186;0.997601965;1;1;1;1;5;0.5835;-12
101;80;1;3;0;0;0.780138801;1.446159719;1;1;1;1;10;1.167;12
101;81;1;2;0;1;0.930648007;1.620775358;1;1;1;1;10;1.167;12
101;82;1;4;0;0;1.227768253;1.795765711;1;1;1;1;1;0.1167;12
101;83;1;4;0;1;1.456287211;1.99729349;1;1;1;1;10;1.167;-12
101;84;1;5;1;1;1.295899148;2.038919598;1;1;1;1;1;0.1167;-12
101;85;1;1;0;1;1.199602695;2.0582098;1;1;1;1;8;0.9336;12
101;86;1;5;1;1;1.352817452;2.592854917;1;1;1;1;1;0.1167;-12
101;87;1;3;0;0;1.713164364;2.314160569;1;1;1;1;8;0.9336;12
101;88;1;2;0;0;1.631126846;2.197670571;1;1;1;1;10;1.167;-12
101;89;1;5;1;1;0.942412589;1.398453085;1;1;1;1;10;1.167;-12
101;90;1;2;0;1;0.626347095;0.975326218;1;1;1;1;3;0.3501;12
101;91;1;1;0;1;1.185555596;1.715577439;1;1;1;1;10;1.167;12
101;92;1;2;0;0;1.345491508;1.807532212;1;1;1;1;10;1.167;12
101;93;1;5;1;0;1.283068666;1.801091372;1;1;1;1;2;0.2334;-12
101;94;1;1;0;1;0.905670231;1.412665621;1;1;1;1;10;1.167;-12
101;95;1;2;0;1;1.625707107;2.47574509;1;1;1;1;8;0.9336;-12
101;96;1;1;0;1;0.45258936;0.937587718;1;1;1;1;1;0.1167;12
101;97;1;1;0;0;0.812743315;1.309759051;1;1;1;1;2;0.2334;12
101;98;1;4;1;1;0.866652075;1.409693196;1;1;1;1;3;0.3501;12
101;99;1;1;0;1;0.930577928;1.275596485;1;1;1;1;2;0.2334;-12
101;100;1;4;1;1;0.867493979;1.364534354;1;1;1;1;8;0.9336;-12
101;101;2;1;1;1;1.817701303;2.048689336;1;1;1;1;10;1.167;12
101;102;2;2;0;1;1.280245359;1.671245142;1;1;1;1;5;0.5835;12
101;103;2;4;0;1;0.993154367;1.296185223;1;1;1;1;5;0.5835;12
101;104;2;4;0;1;0.460719769;0.907626674;1;1;1;1;1;0.1167;-12
101;105;2;2;1;1;2.295668112;2.887690724;1;1;1;1;10;1.167;12
101;106;2;2;0;0;0.606770818;1.433037723;1;1;1;1;1;0.1167;-12
101;107;2;1;0;1;0.721250294;1.269274682;1;1;1;1;10;1.167;-12
101;108;2;5;1;0;0.541092997;0.909107927;1;1;1;1;1;0.1167;-12
101;109;2;2;0;0;0.657629074;1.073633193;1;1;1;1;1;0.1167;-12
101;110;2;1;0;0;0.872563965;1.370566562;1;1;1;1;2;0.2334;-12
101;111;2;2;0;0;1.722392032;2.236454811;1;1;1;1;3;0.3501;-12
101;112;2;1;1;1;0.89275495;1.547791433;1;1;1;1;10;1.167;12
101;113;2;3;1;0;0.890432434;1.286440124;1;1;1;1;3;0.3501;-12
101;114;2;2;0;1;0.833633488;1.27747325;1;1;1;1;1;0.1167;-12
101;115;2;1;0;1;0.620791038;1.293838706;1;1;1;1;1;0.1167;-12
101;116;2;3;0;1;0.50807409;1.058101322;1;1;1;1;3;0.3501;12
101;117;2;1;0;0;1.05763093;1.387625766;1;1;1;1;3;0.3501;12
101;118;2;1;0;1;1.245948075;1.987946464;1;1;1;1;2;0.2334;12
101;119;2;4;0;1;0.760105252;1.148134531;1;1;1;1;8;0.9336;-12
101;120;2;1;0;1;0.410706297;0.889729087;1;1;1;1;3;0.3501;-12
101;121;2;5;1;1;0.360196195;0.884448865;1;1;1;1;2;0.2334;-12
101;122;2;4;1;1;2.067465628;2.53450336;1;1;1;1;10;1.167;12
101;123;2;2;1;1;0.450798353;1.577818396;1;1;1;1;3;0.3501;12
101;124;2;6;1;0;0.412671381;1.500030399;1;1;1;1;5;0.5835;-12
101;125;2;4;0;0;1.016278098;1.879050245;1;1;1;1;2;0.2334;-12
101;126;2;2;0;0;1.165521088;1.669519734;1;1;1;1;3;0.3501;12
101;127;2;6;1;1;0.556394793;0.918421994;1;1;1;1;1;0.1167;-12
101;128;2;4;0;1;0.506341322;1.132376103;1;1;1;1;2;0.2334;-12
101;129;2;1;0;1;0.636588825;1.206645765;1;1;1;1;2;0.2334;12
101;130;2;4;0;1;0.462080704;1.109739083;1;1;1;1;1;0.1167;12
101;131;2;1;0;0;0.526037597;0.964065947;1;1;1;1;3;0.3501;-12
101;132;2;1;0;0;0.63093005;1.655977265;1;1;1;1;8;0.9336;12
101;133;2;4;0;1;0.397482223;0.807523892;1;1;1;1;2;0.2334;12
101;134;2;2;0;0;0.423053588;0.894031087;1;1;1;1;3;0.3501;12
101;135;2;1;0;1;0.6605519;1.099552072;1;1;1;1;10;1.167;12
101;136;2;6;1;1;0.421161143;1.009115671;1;1;1;1;3;0.3501;-12
101;137;2;1;0;0;0.39601153;1.107075773;1;1;1;1;2;0.2334;-12
101;138;2;1;0;0;0.442476908;1.366533037;1;1;1;1;8;0.9336;12
101;139;2;5;1;0;0.55548281;0.772483583;1;1;1;1;5;0.5835;-12
101;140;2;4;0;1;0.40735212;0.592356366;1;1;1;1;5;0.5835;12
101;141;2;4;0;1;0.99082737;1.600846768;1;1;1;1;3;0.3501;12
101;142;2;2;0;0;0.511484267;0.984498208;1;1;1;1;2;0.2334;12
101;143;2;1;0;1;0.795657233;1.627599552;1;1;1;1;1;0.1167;12
101;144;2;3;0;1;0.635929957;1.315973336;1;1;1;1;1;0.1167;-12
